,All,Doc,project
2017-02-02,0,0,pycortex
2017-02-03,0,0,pycortex
2017-02-04,0,0,pycortex
2017-02-05,0,0,pycortex
2017-02-06,0,0,pycortex
2017-02-07,0,0,pycortex
2017-02-08,0,0,pycortex
2017-02-09,0,0,pycortex
2017-02-10,0,0,pycortex
2017-02-11,1,0,pycortex
2017-02-12,0,0,pycortex
2017-02-13,0,0,pycortex
2017-02-14,0,0,pycortex
2017-02-15,0,0,pycortex
2017-02-16,0,0,pycortex
2017-02-17,0,0,pycortex
2017-02-18,0,0,pycortex
2017-02-19,0,0,pycortex
2017-02-20,1,0,pycortex
2017-02-21,0,0,pycortex
2017-02-22,0,0,pycortex
2017-02-23,0,0,pycortex
2017-02-24,0,0,pycortex
2017-02-25,0,0,pycortex
2017-02-26,0,0,pycortex
2017-02-27,0,0,pycortex
2017-02-28,0,0,pycortex
2017-03-01,0,0,pycortex
2017-03-02,0,0,pycortex
2017-03-03,0,0,pycortex
2017-03-04,0,0,pycortex
2017-03-05,0,0,pycortex
2017-03-06,0,0,pycortex
2017-03-07,0,0,pycortex
2017-03-08,0,0,pycortex
2017-03-09,0,0,pycortex
2017-03-10,0,0,pycortex
2017-02-02,0,0,cottoncandy
2017-02-03,0,0,cottoncandy
2017-02-04,0,0,cottoncandy
2017-02-05,0,0,cottoncandy
2017-02-06,0,0,cottoncandy
2017-02-07,0,0,cottoncandy
2017-02-08,0,0,cottoncandy
2017-02-09,0,0,cottoncandy
2017-02-10,2,0,cottoncandy
2017-02-11,4,0,cottoncandy
2017-02-12,0,0,cottoncandy
2017-02-13,0,0,cottoncandy
2017-02-14,2,0,cottoncandy
2017-02-15,0,0,cottoncandy
2017-02-16,1,0,cottoncandy
2017-02-17,0,0,cottoncandy
2017-02-18,0,0,cottoncandy
2017-02-19,0,0,cottoncandy
2017-02-20,0,0,cottoncandy
2017-02-21,0,0,cottoncandy
2017-02-22,0,0,cottoncandy
2017-02-23,0,0,cottoncandy
2017-02-24,0,0,cottoncandy
2017-02-25,0,0,cottoncandy
2017-02-26,0,0,cottoncandy
2017-02-27,0,0,cottoncandy
2017-02-28,0,0,cottoncandy
2017-03-01,0,0,cottoncandy
2017-03-02,3,0,cottoncandy
2017-03-03,0,0,cottoncandy
2017-03-04,0,0,cottoncandy
2017-03-05,0,0,cottoncandy
2017-03-06,0,0,cottoncandy
2017-03-07,0,0,cottoncandy
2017-03-08,0,0,cottoncandy
2017-03-09,0,0,cottoncandy
2017-03-10,0,0,cottoncandy
2017-02-02,0,0,connector-instructors
2017-02-03,0,0,connector-instructors
2017-02-04,0,0,connector-instructors
2017-02-05,0,0,connector-instructors
2017-02-06,0,0,connector-instructors
2017-02-07,0,0,connector-instructors
2017-02-08,2,0,connector-instructors
2017-02-09,0,0,connector-instructors
2017-02-10,0,0,connector-instructors
2017-02-11,0,0,connector-instructors
2017-02-12,0,0,connector-instructors
2017-02-13,0,0,connector-instructors
2017-02-14,0,0,connector-instructors
2017-02-15,0,0,connector-instructors
2017-02-16,0,0,connector-instructors
2017-02-17,0,0,connector-instructors
2017-02-18,0,0,connector-instructors
2017-02-19,0,0,connector-instructors
2017-02-20,0,0,connector-instructors
2017-02-21,0,0,connector-instructors
2017-02-22,0,0,connector-instructors
2017-02-23,3,0,connector-instructors
2017-02-24,0,0,connector-instructors
2017-02-25,0,0,connector-instructors
2017-02-26,0,0,connector-instructors
2017-02-27,0,0,connector-instructors
2017-02-28,0,0,connector-instructors
2017-03-01,0,0,connector-instructors
2017-03-02,0,0,connector-instructors
2017-03-03,0,0,connector-instructors
2017-03-04,0,0,connector-instructors
2017-03-05,0,0,connector-instructors
2017-03-06,0,0,connector-instructors
2017-03-07,0,0,connector-instructors
2017-03-08,0,0,connector-instructors
2017-03-09,0,0,connector-instructors
2017-03-10,0,0,connector-instructors
2017-02-02,6,2,matplotlib
2017-02-03,7,0,matplotlib
2017-02-04,2,0,matplotlib
2017-02-05,8,1,matplotlib
2017-02-06,20,3,matplotlib
2017-02-07,15,2,matplotlib
2017-02-08,4,0,matplotlib
2017-02-09,5,0,matplotlib
2017-02-10,5,0,matplotlib
2017-02-11,5,0,matplotlib
2017-02-12,9,0,matplotlib
2017-02-13,5,0,matplotlib
2017-02-14,5,1,matplotlib
2017-02-15,0,0,matplotlib
2017-02-16,12,1,matplotlib
2017-02-17,9,2,matplotlib
2017-02-18,10,1,matplotlib
2017-02-19,4,0,matplotlib
2017-02-20,8,1,matplotlib
2017-02-21,8,0,matplotlib
2017-02-22,3,0,matplotlib
2017-02-23,12,2,matplotlib
2017-02-24,3,3,matplotlib
2017-02-25,5,1,matplotlib
2017-02-26,4,1,matplotlib
2017-02-27,4,2,matplotlib
2017-02-28,2,2,matplotlib
2017-03-01,2,1,matplotlib
2017-03-02,0,0,matplotlib
2017-03-03,0,0,matplotlib
2017-03-04,0,0,matplotlib
2017-03-05,0,0,matplotlib
2017-03-06,0,0,matplotlib
2017-03-07,0,0,matplotlib
2017-03-08,0,0,matplotlib
2017-03-09,0,0,matplotlib
2017-03-10,0,0,matplotlib
2017-02-02,8,0,notebook
2017-02-03,8,0,notebook
2017-02-04,1,0,notebook
2017-02-05,0,0,notebook
2017-02-06,7,0,notebook
2017-02-07,10,0,notebook
2017-02-08,6,0,notebook
2017-02-09,4,0,notebook
2017-02-10,3,0,notebook
2017-02-11,0,0,notebook
2017-02-12,0,0,notebook
2017-02-13,6,3,notebook
2017-02-14,11,1,notebook
2017-02-15,4,0,notebook
2017-02-16,2,0,notebook
2017-02-17,3,0,notebook
2017-02-18,1,1,notebook
2017-02-19,0,0,notebook
2017-02-20,4,0,notebook
2017-02-21,2,0,notebook
2017-02-22,1,0,notebook
2017-02-23,2,0,notebook
2017-02-24,2,1,notebook
2017-02-25,3,0,notebook
2017-02-26,9,1,notebook
2017-02-27,5,2,notebook
2017-02-28,1,0,notebook
2017-03-01,0,0,notebook
2017-03-02,0,0,notebook
2017-03-03,0,0,notebook
2017-03-04,0,0,notebook
2017-03-05,0,0,notebook
2017-03-06,0,0,notebook
2017-03-07,0,0,notebook
2017-03-08,0,0,notebook
2017-03-09,0,0,notebook
2017-03-10,0,0,notebook
2017-02-02,0,0,pomegranate
2017-02-03,0,0,pomegranate
2017-02-04,0,0,pomegranate
2017-02-05,0,0,pomegranate
2017-02-06,3,0,pomegranate
2017-02-07,0,0,pomegranate
2017-02-08,4,0,pomegranate
2017-02-09,2,0,pomegranate
2017-02-10,0,0,pomegranate
2017-02-11,0,0,pomegranate
2017-02-12,0,0,pomegranate
2017-02-13,0,0,pomegranate
2017-02-14,2,0,pomegranate
2017-02-15,1,0,pomegranate
2017-02-16,0,0,pomegranate
2017-02-17,0,0,pomegranate
2017-02-18,0,0,pomegranate
2017-02-19,1,0,pomegranate
2017-02-20,0,0,pomegranate
2017-02-21,2,0,pomegranate
2017-02-22,0,0,pomegranate
2017-02-23,0,0,pomegranate
2017-02-24,0,0,pomegranate
2017-02-25,0,0,pomegranate
2017-02-26,0,0,pomegranate
2017-02-27,0,0,pomegranate
2017-02-28,1,0,pomegranate
2017-03-01,3,0,pomegranate
2017-03-02,0,0,pomegranate
2017-03-03,0,0,pomegranate
2017-03-04,0,0,pomegranate
2017-03-05,0,0,pomegranate
2017-03-06,0,0,pomegranate
2017-03-07,0,0,pomegranate
2017-03-08,0,0,pomegranate
2017-03-09,0,0,pomegranate
2017-03-10,0,0,pomegranate
2017-02-02,1,0,pandas
2017-02-03,3,0,pandas
2017-02-04,4,1,pandas
2017-02-05,0,0,pandas
2017-02-06,4,2,pandas
2017-02-07,4,0,pandas
2017-02-08,7,1,pandas
2017-02-09,6,0,pandas
2017-02-10,6,0,pandas
2017-02-11,4,1,pandas
2017-02-12,8,1,pandas
2017-02-13,2,0,pandas
2017-02-14,3,0,pandas
2017-02-15,10,1,pandas
2017-02-16,5,0,pandas
2017-02-17,5,1,pandas
2017-02-18,3,1,pandas
2017-02-19,0,0,pandas
2017-02-20,3,0,pandas
2017-02-21,3,1,pandas
2017-02-22,8,1,pandas
2017-02-23,2,0,pandas
2017-02-24,7,1,pandas
2017-02-25,2,2,pandas
2017-02-26,0,0,pandas
2017-02-27,8,1,pandas
2017-02-28,5,0,pandas
2017-03-01,2,0,pandas
2017-03-02,3,3,pandas
2017-03-03,0,0,pandas
2017-03-04,0,0,pandas
2017-03-05,0,0,pandas
2017-03-06,0,0,pandas
2017-03-07,0,0,pandas
2017-03-08,0,0,pandas
2017-03-09,0,0,pandas
2017-03-10,0,0,pandas
2017-02-02,1,0,scikit-image
2017-02-03,3,3,scikit-image
2017-02-04,0,0,scikit-image
2017-02-05,0,0,scikit-image
2017-02-06,10,0,scikit-image
2017-02-07,3,0,scikit-image
2017-02-08,1,0,scikit-image
2017-02-09,4,0,scikit-image
2017-02-10,9,0,scikit-image
2017-02-11,1,0,scikit-image
2017-02-12,4,3,scikit-image
2017-02-13,0,0,scikit-image
2017-02-14,11,3,scikit-image
2017-02-15,4,1,scikit-image
2017-02-16,3,3,scikit-image
2017-02-17,1,0,scikit-image
2017-02-18,0,0,scikit-image
2017-02-19,1,0,scikit-image
2017-02-20,5,0,scikit-image
2017-02-21,7,0,scikit-image
2017-02-22,1,0,scikit-image
2017-02-23,0,0,scikit-image
2017-02-24,1,0,scikit-image
2017-02-25,2,0,scikit-image
2017-02-26,3,1,scikit-image
2017-02-27,2,0,scikit-image
2017-02-28,0,0,scikit-image
2017-03-01,5,1,scikit-image
2017-03-02,0,0,scikit-image
2017-03-03,0,0,scikit-image
2017-03-04,0,0,scikit-image
2017-03-05,0,0,scikit-image
2017-03-06,0,0,scikit-image
2017-03-07,0,0,scikit-image
2017-03-08,0,0,scikit-image
2017-03-09,0,0,scikit-image
2017-03-10,0,0,scikit-image
2017-02-02,10,1,mne-python
2017-02-03,12,1,mne-python
2017-02-04,3,0,mne-python
2017-02-05,1,0,mne-python
2017-02-06,1,1,mne-python
2017-02-07,6,1,mne-python
2017-02-08,1,1,mne-python
2017-02-09,1,0,mne-python
2017-02-10,0,0,mne-python
2017-02-11,1,0,mne-python
2017-02-12,1,0,mne-python
2017-02-13,2,0,mne-python
2017-02-14,3,0,mne-python
2017-02-15,0,0,mne-python
2017-02-16,1,0,mne-python
2017-02-17,7,2,mne-python
2017-02-18,1,0,mne-python
2017-02-19,1,0,mne-python
2017-02-20,4,0,mne-python
2017-02-21,3,2,mne-python
2017-02-22,2,1,mne-python
2017-02-23,2,0,mne-python
2017-02-24,10,0,mne-python
2017-02-25,0,0,mne-python
2017-02-26,1,0,mne-python
2017-02-27,1,0,mne-python
2017-02-28,4,2,mne-python
2017-03-01,2,0,mne-python
2017-03-02,0,0,mne-python
2017-03-03,0,0,mne-python
2017-03-04,0,0,mne-python
2017-03-05,0,0,mne-python
2017-03-06,0,0,mne-python
2017-03-07,0,0,mne-python
2017-03-08,0,0,mne-python
2017-03-09,0,0,mne-python
2017-03-10,0,0,mne-python
2017-02-02,2,0,hdbscan
2017-02-03,0,0,hdbscan
2017-02-04,0,0,hdbscan
2017-02-05,0,0,hdbscan
2017-02-06,0,0,hdbscan
2017-02-07,0,0,hdbscan
2017-02-08,0,0,hdbscan
2017-02-09,0,0,hdbscan
2017-02-10,0,0,hdbscan
2017-02-11,0,0,hdbscan
2017-02-12,0,0,hdbscan
2017-02-13,0,0,hdbscan
2017-02-14,1,0,hdbscan
2017-02-15,0,0,hdbscan
2017-02-16,7,0,hdbscan
2017-02-17,0,0,hdbscan
2017-02-18,4,0,hdbscan
2017-02-19,0,0,hdbscan
2017-02-20,3,0,hdbscan
2017-02-21,0,0,hdbscan
2017-02-22,0,0,hdbscan
2017-02-23,0,0,hdbscan
2017-02-24,0,0,hdbscan
2017-02-25,0,0,hdbscan
2017-02-26,6,0,hdbscan
2017-02-27,0,0,hdbscan
2017-02-28,1,0,hdbscan
2017-03-01,0,0,hdbscan
2017-03-02,0,0,hdbscan
2017-03-03,0,0,hdbscan
2017-03-04,0,0,hdbscan
2017-03-05,0,0,hdbscan
2017-03-06,0,0,hdbscan
2017-03-07,0,0,hdbscan
2017-03-08,0,0,hdbscan
2017-03-09,0,0,hdbscan
2017-03-10,0,0,hdbscan
2017-02-02,2,1,scikit-learn
2017-02-03,2,0,scikit-learn
2017-02-04,0,0,scikit-learn
2017-02-05,0,0,scikit-learn
2017-02-06,2,1,scikit-learn
2017-02-07,4,2,scikit-learn
2017-02-08,4,1,scikit-learn
2017-02-09,2,0,scikit-learn
2017-02-10,2,0,scikit-learn
2017-02-11,1,0,scikit-learn
2017-02-12,1,0,scikit-learn
2017-02-13,6,5,scikit-learn
2017-02-14,0,0,scikit-learn
2017-02-15,2,0,scikit-learn
2017-02-16,3,1,scikit-learn
2017-02-17,1,0,scikit-learn
2017-02-18,2,1,scikit-learn
2017-02-19,2,1,scikit-learn
2017-02-20,6,1,scikit-learn
2017-02-21,4,2,scikit-learn
2017-02-22,3,1,scikit-learn
2017-02-23,6,1,scikit-learn
2017-02-24,2,2,scikit-learn
2017-02-25,0,0,scikit-learn
2017-02-26,2,2,scikit-learn
2017-02-27,2,0,scikit-learn
2017-02-28,0,0,scikit-learn
2017-03-01,0,0,scikit-learn
2017-03-02,1,1,scikit-learn
2017-03-03,0,0,scikit-learn
2017-03-04,0,0,scikit-learn
2017-03-05,0,0,scikit-learn
2017-03-06,0,0,scikit-learn
2017-03-07,0,0,scikit-learn
2017-03-08,0,0,scikit-learn
2017-03-09,0,0,scikit-learn
2017-03-10,0,0,scikit-learn
2017-02-02,28,3,Sylius
2017-02-03,18,1,Sylius
2017-02-04,2,0,Sylius
2017-02-05,0,0,Sylius
2017-02-06,28,1,Sylius
2017-02-07,31,3,Sylius
2017-02-08,39,5,Sylius
2017-02-09,27,2,Sylius
2017-02-10,34,1,Sylius
2017-02-11,1,0,Sylius
2017-02-12,1,0,Sylius
2017-02-13,25,2,Sylius
2017-02-14,36,0,Sylius
2017-02-15,34,3,Sylius
2017-02-16,32,3,Sylius
2017-02-17,29,4,Sylius
2017-02-18,0,0,Sylius
2017-02-19,0,0,Sylius
2017-02-20,30,5,Sylius
2017-02-21,26,8,Sylius
2017-02-22,13,2,Sylius
2017-02-23,24,3,Sylius
2017-02-24,43,7,Sylius
2017-02-25,5,1,Sylius
2017-02-26,5,0,Sylius
2017-02-27,14,3,Sylius
2017-02-28,20,4,Sylius
2017-03-01,4,0,Sylius
2017-03-02,0,0,Sylius
2017-03-03,0,0,Sylius
2017-03-04,0,0,Sylius
2017-03-05,0,0,Sylius
2017-03-06,0,0,Sylius
2017-03-07,0,0,Sylius
2017-03-08,0,0,Sylius
2017-03-09,0,0,Sylius
2017-03-10,0,0,Sylius
2017-02-02,0,0,Omeka
2017-02-03,0,0,Omeka
2017-02-04,0,0,Omeka
2017-02-05,0,0,Omeka
2017-02-06,0,0,Omeka
2017-02-07,0,0,Omeka
2017-02-08,0,0,Omeka
2017-02-09,0,0,Omeka
2017-02-10,0,0,Omeka
2017-02-11,0,0,Omeka
2017-02-12,0,0,Omeka
2017-02-13,0,0,Omeka
2017-02-14,1,0,Omeka
2017-02-15,0,0,Omeka
2017-02-16,0,0,Omeka
2017-02-17,0,0,Omeka
2017-02-18,0,0,Omeka
2017-02-19,0,0,Omeka
2017-02-20,0,0,Omeka
2017-02-21,0,0,Omeka
2017-02-22,2,0,Omeka
2017-02-23,0,0,Omeka
2017-02-24,0,0,Omeka
2017-02-25,0,0,Omeka
2017-02-26,0,0,Omeka
2017-02-27,4,0,Omeka
2017-02-28,0,0,Omeka
2017-03-01,0,0,Omeka
2017-03-02,0,0,Omeka
2017-03-03,0,0,Omeka
2017-03-04,0,0,Omeka
2017-03-05,0,0,Omeka
2017-03-06,0,0,Omeka
2017-03-07,0,0,Omeka
2017-03-08,0,0,Omeka
2017-03-09,0,0,Omeka
2017-03-10,0,0,Omeka
2017-02-02,0,0,MSNoise
2017-02-03,0,0,MSNoise
2017-02-04,0,0,MSNoise
2017-02-05,0,0,MSNoise
2017-02-06,0,0,MSNoise
2017-02-07,0,0,MSNoise
2017-02-08,0,0,MSNoise
2017-02-09,0,0,MSNoise
2017-02-10,0,0,MSNoise
2017-02-11,0,0,MSNoise
2017-02-12,0,0,MSNoise
2017-02-13,0,0,MSNoise
2017-02-14,0,0,MSNoise
2017-02-15,0,0,MSNoise
2017-02-16,0,0,MSNoise
2017-02-17,0,0,MSNoise
2017-02-18,0,0,MSNoise
2017-02-19,2,0,MSNoise
2017-02-20,0,0,MSNoise
2017-02-21,1,0,MSNoise
2017-02-22,1,0,MSNoise
2017-02-23,5,0,MSNoise
2017-02-24,1,0,MSNoise
2017-02-25,0,0,MSNoise
2017-02-26,0,0,MSNoise
2017-02-27,0,0,MSNoise
2017-02-28,0,0,MSNoise
2017-03-01,0,0,MSNoise
2017-03-02,0,0,MSNoise
2017-03-03,0,0,MSNoise
2017-03-04,0,0,MSNoise
2017-03-05,0,0,MSNoise
2017-03-06,0,0,MSNoise
2017-03-07,0,0,MSNoise
2017-03-08,0,0,MSNoise
2017-03-09,0,0,MSNoise
2017-03-10,0,0,MSNoise
2017-02-02,10,0,quanteda
2017-02-03,10,1,quanteda
2017-02-04,15,0,quanteda
2017-02-05,9,0,quanteda
2017-02-06,37,0,quanteda
2017-02-07,17,0,quanteda
2017-02-08,16,0,quanteda
2017-02-09,15,0,quanteda
2017-02-10,0,0,quanteda
2017-02-11,0,0,quanteda
2017-02-12,0,0,quanteda
2017-02-13,20,0,quanteda
2017-02-14,2,0,quanteda
2017-02-15,0,0,quanteda
2017-02-16,0,0,quanteda
2017-02-17,5,0,quanteda
2017-02-18,8,0,quanteda
2017-02-19,0,0,quanteda
2017-02-20,0,0,quanteda
2017-02-21,11,0,quanteda
2017-02-22,0,0,quanteda
2017-02-23,6,0,quanteda
2017-02-24,26,1,quanteda
2017-02-25,0,0,quanteda
2017-02-26,7,0,quanteda
2017-02-27,4,0,quanteda
2017-02-28,10,0,quanteda
2017-03-01,6,0,quanteda
2017-03-02,0,0,quanteda
2017-03-03,0,0,quanteda
2017-03-04,0,0,quanteda
2017-03-05,0,0,quanteda
2017-03-06,0,0,quanteda
2017-03-07,0,0,quanteda
2017-03-08,0,0,quanteda
2017-03-09,0,0,quanteda
2017-03-10,0,0,quanteda
2017-02-02,0,0,ipython
2017-02-03,6,0,ipython
2017-02-04,1,0,ipython
2017-02-05,0,0,ipython
2017-02-06,3,0,ipython
2017-02-07,9,0,ipython
2017-02-08,5,0,ipython
2017-02-09,26,4,ipython
2017-02-10,3,0,ipython
2017-02-11,0,0,ipython
2017-02-12,1,0,ipython
2017-02-13,1,0,ipython
2017-02-14,1,0,ipython
2017-02-15,0,0,ipython
2017-02-16,1,0,ipython
2017-02-17,2,0,ipython
2017-02-18,2,0,ipython
2017-02-19,2,0,ipython
2017-02-20,6,0,ipython
2017-02-21,15,0,ipython
2017-02-22,4,0,ipython
2017-02-23,12,1,ipython
2017-02-24,11,0,ipython
2017-02-25,0,0,ipython
2017-02-26,0,0,ipython
2017-02-27,1,0,ipython
2017-02-28,10,1,ipython
2017-03-01,3,0,ipython
2017-03-02,0,0,ipython
2017-03-03,0,0,ipython
2017-03-04,0,0,ipython
2017-03-05,0,0,ipython
2017-03-06,0,0,ipython
2017-03-07,0,0,ipython
2017-03-08,0,0,ipython
2017-03-09,0,0,ipython
2017-03-10,0,0,ipython
2017-02-02,2,0,bokeh
2017-02-03,2,0,bokeh
2017-02-04,4,0,bokeh
2017-02-05,0,0,bokeh
2017-02-06,6,0,bokeh
2017-02-07,1,0,bokeh
2017-02-08,0,0,bokeh
2017-02-09,0,0,bokeh
2017-02-10,0,0,bokeh
2017-02-11,0,0,bokeh
2017-02-12,0,0,bokeh
2017-02-13,0,0,bokeh
2017-02-14,3,0,bokeh
2017-02-15,4,0,bokeh
2017-02-16,1,0,bokeh
2017-02-17,5,1,bokeh
2017-02-18,0,0,bokeh
2017-02-19,2,0,bokeh
2017-02-20,2,0,bokeh
2017-02-21,0,0,bokeh
2017-02-22,1,0,bokeh
2017-02-23,3,0,bokeh
2017-02-24,2,1,bokeh
2017-02-25,0,0,bokeh
2017-02-26,1,0,bokeh
2017-02-27,3,0,bokeh
2017-02-28,2,0,bokeh
2017-03-01,7,0,bokeh
2017-03-02,0,0,bokeh
2017-03-03,0,0,bokeh
2017-03-04,0,0,bokeh
2017-03-05,0,0,bokeh
2017-03-06,0,0,bokeh
2017-03-07,0,0,bokeh
2017-03-08,0,0,bokeh
2017-03-09,0,0,bokeh
2017-03-10,0,0,bokeh
